source,target,weight
lakskij,tsahurskij,0.0
lakskij,tsezskij,0.0
lakskij,tsudaharskij darginskij,0.0
lakskij,chiragskij darginskij,0.0
lezginskij,avarskij,0.0
lezginskij,agul'skij,0.0
lezginskij,azerbajdzhanskij,0.625
lezginskij,akushinskij darginskij,0.0
lezginskij,andijskij,0.0
lezginskij,ahvahskij,0.0
lezginskij,bagvalinskij,0.0
lezginskij,bezhtinskij,0.0
lezginskij,gapshiminskij darginskij,0.0
lezginskij,gdymsko-fijskij lezginskij,0.0
lezginskij,ginuhskij,0.0
lezginskij,kadarskij darginskij,0.0
lezginskij,kajtagskij darginskij,0.0
lezginskij,karatinskij,0.0
lezginskij,kubachinskij darginskij,0.0
lezginskij,kumykskij,0.0
lezginskij,lakskij,0.0
lezginskij,lezginskij,0.0
lezginskij,megebskij,0.0
lezginskij,muirinskij darginskij,0.0
lezginskij,rutul'skij,0.375
lezginskij,sirhinskij darginskij,0.0
lezginskij,tabasaranskij,0.0
lezginskij,tukitinskij,0.0
lezginskij,hnovskij rutul'skij,0.0
lezginskij,tsahurskij,0.0
lezginskij,tsezskij,0.0
lezginskij,tsudaharskij darginskij,0.0
lezginskij,chiragskij darginskij,0.0
megebskij,avarskij,0.7172774869109948
megebskij,agul'skij,0.0
megebskij,azerbajdzhanskij,0.0
megebskij,akushinskij darginskij,0.0
megebskij,andijskij,0.0
megebskij,ahvahskij,0.0
megebskij,bagvalinskij,0.0
megebskij,bezhtinskij,0.0
megebskij,gapshiminskij darginskij,0.0
megebskij,gdymsko-fijskij lezginskij,0.0
megebskij,ginuhskij,0.0
megebskij,kadarskij darginskij,0.0
megebskij,kajtagskij darginskij,0.0
megebskij,karatinskij,0.0
megebskij,kubachinskij darginskij,0.0
megebskij,kumykskij,0.0
megebskij,lakskij,0.28272251308900526
megebskij,lezginskij,0.0
megebskij,megebskij,0.0
megebskij,muirinskij darginskij,0.0
megebskij,rutul'skij,0.0
megebskij,sirhinskij darginskij,0.0
megebskij,tabasaranskij,0.0
megebskij,tukitinskij,0.0
megebskij,hnovskij rutul'skij,0.0
megebskij,tsahurskij,0.0
megebskij,tsezskij,0.0
megebskij,tsudaharskij darginskij,0.0
megebskij,chiragskij darginskij,0.0
muirinskij darginskij,avarskij,0.0
muirinskij darginskij,agul'skij,0.0
muirinskij darginskij,azerbajdzhanskij,0.0
muirinskij darginskij,akushinskij darginskij,0.0
muirinskij darginskij,andijskij,0.0
muirinskij darginskij,ahvahskij,0.0
muirinskij darginskij,bagvalinskij,0.0
muirinskij darginskij,bezhtinskij,0.0
muirinskij darginskij,gapshiminskij darginskij,0.0
muirinskij darginskij,gdymsko-fijskij lezginskij,0.0
muirinskij darginskij,ginuhskij,0.0
muirinskij darginskij,kadarskij darginskij,0.0
muirinskij darginskij,kajtagskij darginskij,0.0
muirinskij darginskij,karatinskij,0.0
muirinskij darginskij,kubachinskij darginskij,0.0
muirinskij darginskij,kumykskij,1.0
muirinskij darginskij,lakskij,0.0
muirinskij darginskij,lezginskij,0.0
muirinskij darginskij,megebskij,0.0
muirinskij darginskij,muirinskij darginskij,0.0
muirinskij darginskij,rutul'skij,0.0
muirinskij darginskij,sirhinskij darginskij,0.0
muirinskij darginskij,tabasaranskij,0.0
muirinskij darginskij,tukitinskij,0.0
muirinskij darginskij,hnovskij rutul'skij,0.0
muirinskij darginskij,tsahurskij,0.0
muirinskij darginskij,tsezskij,0.0
muirinskij darginskij,tsudaharskij darginskij,0.0
muirinskij darginskij,chiragskij darginskij,0.0
rutul'skij,avarskij,0.0
rutul'skij,agul'skij,0.0
rutul'skij,azerbajdzhanskij,0.5960144927536232
rutul'skij,akushinskij darginskij,0.0
rutul'skij,andijskij,0.0
rutul'skij,ahvahskij,0.0
rutul'skij,bagvalinskij,0.0
rutul'skij,bezhtinskij,0.0
rutul'skij,gapshiminskij darginskij,0.0
rutul'skij,gdymsko-fijskij lezginskij,0.0
rutul'skij,ginuhskij,0.0
rutul'skij,kadarskij darginskij,0.0
rutul'skij,kajtagskij darginskij,0.0
rutul'skij,karatinskij,0.0
rutul'skij,kubachinskij darginskij,0.0
rutul'skij,kumykskij,0.0
rutul'skij,lakskij,0.0
rutul'skij,lezginskij,0.3351449275362319
rutul'skij,megebskij,0.0
rutul'skij,muirinskij darginskij,0.0
rutul'skij,rutul'skij,0.0
rutul'skij,sirhinskij darginskij,0.0
rutul'skij,tabasaranskij,0.0
rutul'skij,tukitinskij,0.0
rutul'skij,hnovskij rutul'skij,0.0
rutul'skij,tsahurskij,0.06340579710144928
rutul'skij,tsezskij,0.0
rutul'skij,tsudaharskij darginskij,0.0
rutul'skij,chiragskij darginskij,0.0
sirhinskij darginskij,avarskij,0.0
sirhinskij darginskij,agul'skij,0.0
sirhinskij darginskij,azerbajdzhanskij,0.0
sirhinskij darginskij,akushinskij darginskij,0.8071748878923767
sirhinskij darginskij,andijskij,0.0
sirhinskij darginskij,ahvahskij,0.0
sirhinskij darginskij,bagvalinskij,0.0
sirhinskij darginskij,bezhtinskij,0.0
sirhinskij darginskij,gapshiminskij darginskij,0.0
sirhinskij darginskij,gdymsko-fijskij lezginskij,0.0
sirhinskij darginskij,ginuhskij,0.0
sirhinskij darginskij,kadarskij darginskij,0.0
sirhinskij darginskij,kajtagskij darginskij,0.0
sirhinskij darginskij,karatinskij,0.0
sirhinskij darginskij,kubachinskij darginskij,0.12556053811659193
sirhinskij darginskij,kumykskij,0.06726457399103139
sirhinskij darginskij,lakskij,0.0
sirhinskij darginskij,lezginskij,0.0
sirhinskij darginskij,megebskij,0.0
sirhinskij darginskij,muirinskij darginskij,0.0
sirhinskij darginskij,rutul'skij,0.0
sirhinskij darginskij,sirhinskij darginskij,0.0
sirhinskij darginskij,tabasaranskij,0.0
sirhinskij darginskij,tukitinskij,0.0
sirhinskij darginskij,hnovskij rutul'skij,0.0
sirhinskij darginskij,tsahurskij,0.0
sirhinskij darginskij,tsezskij,0.0
sirhinskij darginskij,tsudaharskij darginskij,0.0
sirhinskij darginskij,chiragskij darginskij,0.0
tabasaranskij,avarskij,0.0
tabasaranskij,agul'skij,0.0
tabasaranskij,azerbajdzhanskij,0.0
tabasaranskij,akushinskij darginskij,0.0
tabasaranskij,andijskij,0.0
tabasaranskij,ahvahskij,0.0
tabasaranskij,bagvalinskij,0.0
tabasaranskij,bezhtinskij,0.0
tabasaranskij,gapshiminskij darginskij,0.0
tabasaranskij,gdymsko-fijskij lezginskij,0.0
tabasaranskij,ginuhskij,0.0
tabasaranskij,kadarskij darginskij,0.0
tabasaranskij,kajtagskij darginskij,0.0
tabasaranskij,karatinskij,0.0
tabasaranskij,kubachinskij darginskij,0.0
tabasaranskij,kumykskij,0.0
tabasaranskij,lakskij,0.0
tabasaranskij,lezginskij,0.0
tabasaranskij,megebskij,0.0
tabasaranskij,muirinskij darginskij,0.0
tabasaranskij,rutul'skij,0.0
tabasaranskij,sirhinskij darginskij,0.0
tabasaranskij,tabasaranskij,0.0
tabasaranskij,tukitinskij,0.0
tabasaranskij,hnovskij rutul'skij,0.0
tabasaranskij,tsahurskij,0.0
